user_id,monthly_avg_revenue,transaction_volume_90d,avg_transaction_amount,transaction_count_90d,account_age_days,successful_transactions,failed_transactions,avg_daily_balance,fraud_incidents,disputed_transactions,chargebacks,defaulted,merchant_type
MERCHANT_0000,427512.43632851134,1282537.3089855341,84.07324214916643,15255,57,14381,873,122550.80462464741,8,4,1,0,large_grocery
MERCHANT_0001,11381.763287750076,34145.28986325023,35.34709095574558,966,1940,870,95,2590.8066455050493,1,0,0,0,small_merchant
MERCHANT_0002,248714.96782830553,746144.9034849165,170.3527176906202,4380,368,4050,329,26213.29512475695,5,2,0,0,retail_store
MERCHANT_0003,237919.39737203796,713758.1921161138,163.29402702267532,4371,1858,4037,333,55309.935762380264,5,2,0,0,retail_store
MERCHANT_0004,104262.41249648483,312787.2374894545,218.12220187549127,1434,57,1305,128,19750.500202144318,2,1,0,1,small_grocery
MERCHANT_0005,60581.09264482583,181743.2779344775,136.7519021327897,1329,916,1204,124,17841.834076844287,1,0,0,1,small_grocery
MERCHANT_0006,72806.59660581709,218419.78981745127,142.47866263369292,1533,971,1390,142,19207.382364597855,2,1,0,0,small_grocery
MERCHANT_0007,2084949.734275538,6254849.202826614,204.6877807064145,30558,3650,29946,611,279931.92051373504,31,15,4,0,utility_provider
MERCHANT_0008,156288.35647841092,468865.0694352328,105.8147301817271,4431,1069,4057,373,38137.832297997586,6,3,0,0,retail_store
MERCHANT_0009,231724.24922272196,695172.747668166,153.76526159437424,4521,352,4173,347,45675.90845963295,4,2,0,0,retail_store
MERCHANT_0010,43745.021368160735,131235.0641044822,84.94178906438978,1545,594,1397,147,6010.961073126499,5,2,0,0,small_grocery
MERCHANT_0011,19187.62350719684,57562.87052159052,61.107081233110954,942,333,849,92,4600.194004979819,1,0,0,0,small_merchant
MERCHANT_0012,191228.2247929211,573684.6743787633,94.85527023458388,6048,159,5558,489,40058.0134687713,18,9,2,0,restaurant
MERCHANT_0013,35122.53938233674,105367.61814701022,70.38585046560469,1497,208,1352,144,3725.6154889034356,2,1,0,0,small_grocery
MERCHANT_0014,54257.761951223874,162773.2858536716,113.50996224105413,1434,183,1298,135,12442.259215186938,6,3,0,0,small_grocery
MERCHANT_0015,24815.156058566914,74445.46817570075,52.02338796345265,1431,580,1291,139,5632.976351879035,3,1,0,1,small_grocery
MERCHANT_0016,828197.4065065793,2484592.2195197376,166.07126659446146,14961,1727,14661,299,106685.93199043875,20,10,3,0,large_grocery
MERCHANT_0017,625113.1668371735,1875339.5005115205,155.88857028358441,12030,1780,11579,450,106142.68132575929,9,4,1,0,fuel_station
MERCHANT_0018,414460.7702367571,1243382.3107102714,102.46248955173229,12135,41,11424,710,90012.50476335557,11,5,1,0,fuel_station
MERCHANT_0019,503747.09715752304,1511241.291472569,100.85026970120582,14985,60,14241,743,64357.01781395966,17,8,2,1,large_grocery
MERCHANT_0020,389416.6570252912,1168249.9710758736,259.9577149701543,4494,205,4219,274,105354.60313527414,8,4,1,0,retail_store
MERCHANT_0021,56450.88725965587,169352.66177896762,111.34297289872953,1521,214,1377,143,5955.411066005758,5,2,0,0,small_grocery
MERCHANT_0022,245936.25520352085,737808.7656105625,50.46916790550397,14619,72,13516,1102,29651.915266826814,12,6,1,1,large_grocery
MERCHANT_0023,423836.9804127176,1271510.9412381528,83.44890340868628,15237,358,14359,877,52225.77930453486,21,10,3,0,large_grocery
MERCHANT_0024,805786.3292226127,2417358.987667838,198.861384309628,12156,646,11912,243,165686.93341740998,8,4,1,0,fuel_station
MERCHANT_0025,82255.9542615936,246767.8627847808,40.923360329151045,6030,630,5476,553,18427.209390542506,18,9,2,0,restaurant
MERCHANT_0026,48687.3401317557,146062.0203952671,92.56148314021996,1578,572,1427,150,8800.147110042337,4,2,0,0,small_grocery
MERCHANT_0027,665266.354917206,1995799.064751618,166.90074132393528,11958,301,11557,400,104934.70113738344,11,5,1,0,fuel_station
MERCHANT_0028,482099.70033174625,1446299.1009952389,319.6947614932004,4524,894,4289,234,126244.30288564591,2,1,0,0,retail_store
MERCHANT_0029,30969.20502182164,92907.61506546492,63.461485700454176,1464,1278,1322,141,3519.87302821022,2,1,0,0,small_grocery
MERCHANT_0030,145705.24500862305,437115.73502586916,96.42967902622307,4533,310,4145,387,22738.523360917578,8,4,1,0,retail_store
MERCHANT_0031,45814.813193036236,137444.4395791087,94.26916294863423,1458,65,1318,139,4939.895906471906,3,1,0,0,small_grocery
MERCHANT_0032,33943.308401280934,101829.92520384281,65.52762239629524,1554,256,1403,150,3488.626267107184,2,1,0,0,small_grocery
MERCHANT_0033,9488.2106720971,28464.632016291303,32.60553495566014,873,107,786,86,1619.4096301086258,3,1,0,0,small_merchant
MERCHANT_0034,29729.963066549964,89189.88919964989,90.64013130045721,984,459,888,95,4131.416364450562,2,1,0,0,small_merchant
MERCHANT_0035,111740.06123248485,335220.1836974545,55.70292185069035,6018,123,5483,534,17171.44953371524,11,5,1,0,restaurant
MERCHANT_0036,638579.18659203,1915737.55977609,127.4100531907482,15036,453,14492,543,168705.87226772954,19,9,2,0,large_grocery
MERCHANT_0037,43482.270607735314,130446.81182320594,93.30959357883114,1398,182,1264,133,5765.575990530209,3,1,0,0,small_grocery
MERCHANT_0038,191715.02117636305,575145.0635290891,126.8795639817095,4533,979,4166,366,49087.99341883881,10,5,1,0,retail_store
MERCHANT_0039,906745.5089276399,2720236.5267829197,224.77578307576596,12102,30,11859,242,213094.37506011798,9,4,1,1,fuel_station
MERCHANT_0040,35478.39219254006,106435.17657762018,70.25424196542586,1515,590,1368,146,5864.191693343238,6,3,0,0,small_grocery
MERCHANT_0041,854339.2846492766,2563017.85394783,214.49643099404383,11949,135,11710,238,178822.80568304285,12,6,1,1,fuel_station
MERCHANT_0042,64350.43000021447,193051.2900006434,126.67407480357178,1524,30,1381,142,12154.967519301264,2,1,0,0,small_grocery
MERCHANT_0043,33596.79736390338,100790.39209171015,115.85102539277028,870,1484,785,84,4222.41401584024,2,1,0,1,small_merchant
MERCHANT_0044,525463.6840501867,1576391.05215056,104.34147816723325,15108,812,14391,716,147884.95665995742,27,13,3,0,large_grocery
MERCHANT_0045,225617.15265112047,676851.4579533614,154.5322963363839,4380,76,4040,339,48264.83205423553,6,3,0,1,retail_store
MERCHANT_0046,334019.97422098374,1002059.9226629513,66.48486748029136,15072,796,14068,1003,92205.54890307346,10,5,1,0,large_grocery
MERCHANT_0047,763922.4843951295,2291767.4531853884,192.5207873979661,11904,690,11622,281,202260.1675625094,8,4,1,0,fuel_station
MERCHANT_0048,706936.7477523527,2120810.2432570583,179.38004256593572,11823,468,11476,346,81972.98141267092,14,7,2,0,fuel_station
MERCHANT_0049,45113.9115743395,135341.7347230185,91.13921530169596,1485,396,1343,141,6381.549257176134,3,1,0,0,small_grocery
MERCHANT_0050,51051.251163839275,153153.75349151783,157.56559001184962,972,1592,879,92,6588.277443241661,2,1,0,0,small_merchant
MERCHANT_0051,136285.43765179356,408856.31295538065,67.9727868587499,6015,205,5495,519,36273.17420878292,15,7,2,0,restaurant
MERCHANT_0052,47619.74043424298,142859.22130272893,171.2940303390035,834,370,754,79,12975.870941461346,1,0,0,0,small_merchant
MERCHANT_0053,1834386.0651874598,5503158.195562379,182.4896602852626,30156,291,29552,603,377139.3226004361,27,13,3,0,utility_provider
MERCHANT_0054,191006.01585950627,573018.0475785187,128.9709762724553,4443,1076,4083,359,23080.32929988606,12,6,1,1,retail_store
MERCHANT_0055,32819.787539122335,98459.362617367,115.56263218000822,852,1812,769,82,4172.160475383432,1,0,0,0,small_merchant
MERCHANT_0056,47825.15167222473,143475.45501667418,97.00842124183515,1479,1383,1338,140,12564.13423674616,1,0,0,0,small_grocery
MERCHANT_0057,51230.90025326091,153692.70075978272,100.65009872939275,1527,1166,1382,144,14643.739465495692,1,0,0,0,small_grocery
MERCHANT_0058,48957.20390275268,146871.61170825805,93.9677618095061,1563,3158,1414,148,6848.87474819601,4,2,0,0,small_grocery
MERCHANT_0059,532932.6232644432,1598797.8697933299,104.68132454614874,15273,871,14559,713,54480.37789566904,15,7,2,0,large_grocery
MERCHANT_0060,675386.7260188473,2026160.1780565418,135.6743121773498,14934,1015,14449,484,112242.91241712673,11,5,1,0,large_grocery
MERCHANT_0061,407749.7386655529,1223249.215996659,81.72975319012887,14967,2965,14080,886,43262.19749823179,14,7,2,0,large_grocery
MERCHANT_0062,135218.9297744195,405656.78932325845,69.30749860298282,5853,30,5346,506,35913.469383869364,15,7,2,0,restaurant
MERCHANT_0063,304520.0619959206,913560.1859877618,61.14860682649008,14940,733,13900,1039,60387.07480805067,20,10,3,0,large_grocery
MERCHANT_0064,642841.6271494342,1928524.8814483024,130.7385859567692,14751,980,14224,526,146807.12819962794,15,7,2,0,large_grocery
MERCHANT_0065,854677.1450653558,2564031.435196067,212.078696045994,12090,1824,11848,241,155805.05834132584,13,6,1,0,fuel_station
MERCHANT_0066,39042.40132080183,117127.20396240549,78.08480264160366,1500,1571,1355,144,6602.128994045608,1,0,0,0,small_grocery
MERCHANT_0067,304469.7072876448,913409.1218629344,150.35541100624434,6075,1346,5652,422,43977.62967445834,8,4,1,0,restaurant
MERCHANT_0068,48170.05947954295,144510.17843862885,96.3401189590859,1500,2127,1357,142,12240.325672304536,4,2,0,0,small_grocery
MERCHANT_0069,25630.38008592303,76891.14025776909,82.41279770393257,933,562,842,90,6128.467799875432,4,2,0,0,small_merchant
MERCHANT_0070,176553.4751173594,529660.4253520782,88.54236465263762,5982,30,5489,492,30392.938669403953,17,8,2,0,restaurant
MERCHANT_0071,55527.89676800121,166583.69030400363,112.63265064503287,1479,30,1339,139,9118.97038798105,3,1,0,1,small_grocery
MERCHANT_0072,42048.046444715335,126144.139334146,79.63645159983965,1584,574,1432,151,4215.256768300494,4,2,0,1,small_grocery
MERCHANT_0073,166455.9687184278,499367.90615528333,86.87681039583914,5748,417,5268,479,18761.3231460105,12,6,1,0,restaurant
MERCHANT_0074,298806.20745939825,896418.6223781947,204.1026007236327,4392,438,4084,307,67127.14468019678,3,1,0,1,retail_store
MERCHANT_0075,183145.01885413076,549435.0565623923,121.61023828295535,4518,373,4148,369,37164.054992522506,9,4,1,0,retail_store
MERCHANT_0076,150824.7883429807,452474.3650289421,76.48315838893545,5916,1823,5413,502,28198.299091758723,14,7,2,0,restaurant
MERCHANT_0077,58760.59523615474,176281.78570846422,111.50018071376611,1581,324,1432,148,15600.964369366935,2,1,0,0,small_grocery
MERCHANT_0078,462472.5677041802,1387417.7031125405,93.27804915372735,14874,1415,14074,799,92855.07606076008,15,7,2,0,large_grocery
MERCHANT_0079,46022.10529336408,138066.31588009224,92.41386605093189,1494,1702,1351,142,8141.251346966475,4,2,0,0,small_grocery
MERCHANT_0080,1795182.854626152,5385548.563878456,175.9465700897924,30609,505,29996,612,237415.21151791306,33,16,4,0,utility_provider
MERCHANT_0081,135170.66943844015,405512.0083153205,92.58265030030147,4380,432,4001,378,35703.65643793804,10,5,1,0,retail_store
MERCHANT_0082,804629.1398465836,2413887.4195397506,164.5121937940265,14673,1044,14379,293,173196.1407512804,20,10,3,0,large_grocery
MERCHANT_0083,44551.85483656051,133655.56450968154,91.85949450837218,1455,898,1315,139,5279.038079652854,2,1,0,0,small_grocery
MERCHANT_0084,440979.7508476413,1322939.252542924,88.30191246448565,14982,290,14144,837,101328.18585960096,17,8,2,0,large_grocery
MERCHANT_0085,549452.1559067846,1648356.4677203537,110.19898834873337,14958,78,14284,673,101656.42309498065,14,7,2,0,large_grocery
MERCHANT_0086,234815.47419975733,704446.422599272,157.27761165422461,4479,224,4136,342,61586.75559016885,7,3,0,0,retail_store
MERCHANT_0087,222555.83746233405,667667.5123870021,148.66789409641552,4491,102,4141,349,63157.54528439482,2,1,0,0,retail_store
MERCHANT_0088,2554873.320135471,7664619.960406413,250.9452234687625,30543,254,29932,610,562310.1491610353,40,20,6,0,utility_provider
MERCHANT_0089,485910.8983601406,1457732.6950804219,121.41701608199416,12006,221,11388,617,119690.8182928847,14,7,2,0,fuel_station
MERCHANT_0090,54271.91621966601,162815.74865899803,111.90085818487837,1455,741,1317,137,6041.450369939526,5,2,0,0,small_grocery
MERCHANT_0091,128544.5962974353,385633.7888923059,90.7160171470962,4251,2255,3880,370,27258.021887055467,8,4,1,0,retail_store
MERCHANT_0092,185271.06320132114,555813.1896039634,94.1896610072807,5901,845,5420,480,46515.63449380844,12,6,1,0,restaurant
MERCHANT_0093,62857.223327415595,188571.6699822468,43.77243964304707,4308,1907,3904,403,12530.740206811994,10,5,1,1,retail_store
MERCHANT_0094,210960.06340078264,632880.1902023479,101.81470241350513,6216,1119,5725,490,46139.079242753294,5,2,0,0,restaurant
MERCHANT_0095,442525.90067190374,1327577.7020157112,113.49728152652058,11697,950,11044,652,123814.16116351543,7,3,0,0,fuel_station
MERCHANT_0096,811673.8996155603,2435021.698846681,203.3760710637836,11973,390,11733,239,113325.84039010348,6,3,0,0,fuel_station
MERCHANT_0097,955673.2298674734,2867019.68960242,241.3316237039074,11880,286,11642,237,114345.63442581429,13,6,1,0,fuel_station
MERCHANT_0098,22358.26723815928,67074.80171447783,42.42555453161153,1581,1367,1426,154,5324.145617596098,4,2,0,1,small_grocery
MERCHANT_0099,66437.79717464122,199313.39152392367,131.04102006832588,1521,1721,1379,141,17577.433455559254,1,0,0,0,small_grocery
MERCHANT_0100,93768.4386151626,281305.31584548776,184.94761068079407,1521,438,1383,137,25326.671269696693,4,2,0,0,small_grocery
MERCHANT_0101,237102.69189287274,711308.0756786182,154.66581336782306,4599,30,4248,350,54137.39668900265,5,2,0,0,retail_store
MERCHANT_0102,331797.1380664081,995391.4141992243,66.54575572932373,14958,1148,13958,999,88471.27931616118,15,7,2,0,large_grocery
MERCHANT_0103,549499.792815424,1648499.378446272,137.47805674641583,11991,244,11450,540,131952.94645716873,10,5,1,0,fuel_station
MERCHANT_0104,14216.057022953442,42648.17106886033,44.845605750641774,951,30,857,93,1670.0367460994933,0,0,0,0,small_merchant
MERCHANT_0105,67503.46878241423,202510.4063472427,140.33985193849114,1443,1193,1308,134,17038.462907312565,1,0,0,0,small_grocery
MERCHANT_0106,842970.5382562641,2528911.614768792,211.27081159304865,11970,531,11730,239,114536.04063396997,18,9,2,0,fuel_station
MERCHANT_0107,383522.2860728131,1150566.8582184394,190.90208365993684,6027,843,5655,371,56501.219802616375,8,4,1,0,restaurant
MERCHANT_0108,53652.35997895448,160957.07993686345,101.42223058403493,1587,1796,1436,150,9600.02349902594,0,0,0,0,small_grocery
MERCHANT_0109,34630.03753150964,103890.11259452891,67.2427913233197,1545,568,1395,149,5641.6976157625495,3,1,0,0,small_grocery
MERCHANT_0110,488113.3799596038,1464340.1398788113,98.03442055826547,14937,510,14172,764,80211.84142654364,17,8,2,0,large_grocery
MERCHANT_0111,37088.73231421475,111266.19694264425,66.70635308312005,1668,250,1507,160,4964.397468388517,6,3,0,0,small_grocery
MERCHANT_0112,40819.26566479686,122457.79699439058,140.2723906006765,873,265,789,83,6481.046635110991,2,1,0,0,small_merchant
MERCHANT_0113,132412.86586162352,397238.5975848705,65.38906956129557,6075,1162,5547,527,13762.002563956059,11,5,1,0,restaurant
MERCHANT_0114,189566.63341655937,568699.9002496782,127.82645543935224,4449,435,4088,360,36886.29055556472,9,4,1,0,retail_store
MERCHANT_0115,1779406.5640346864,5338219.692104059,177.9940546198546,29991,130,29391,599,451467.8158220101,30,15,4,0,utility_provider
MERCHANT_0116,116144.68890865626,348434.0667259688,58.2763115447347,5979,72,5450,528,31643.55938305088,15,7,2,0,restaurant
MERCHANT_0117,36118.059949688024,108354.17984906406,70.54308583923442,1536,467,1387,148,9538.263570355432,1,0,0,0,small_grocery
MERCHANT_0118,1680846.708977825,5042540.126933475,167.215152106827,30156,456,29552,603,308084.98817805207,41,20,6,1,utility_provider
MERCHANT_0119,853489.2745330038,2560467.8235990116,212.4693240062245,12051,773,11809,241,210031.16095494723,13,6,1,0,fuel_station
MERCHANT_0120,186426.47009665408,559279.4102899623,93.44685217877398,5985,464,5498,486,29376.739167258154,9,4,1,0,restaurant
